spotify_id,echonest_id,title,echonest_artist_id,artist_name,album,duration,tempo,time_signature,key,mode,loudness,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,spotify_artist_id
78DiSIU7rcTbsIT2ogB82V,SOESZXL14C3060575B,All I Need,ARSA4701187FB571FF,The-Dream,,298.2122,144.136,4,7,0,-6.951,0.160755,0.405098,0.638821,0.0,0.337408,0.053832,0.228623,1W3FSF1BLpY3hlVIgvenLz
5NWzO9jLluZ3R7FHFDtMqS,SOCSSMN14934FB7E9C,Can't Stop (feat. Kanye West),ARFSMPX122BCFCA00D,Theophilus London,,291.68,159.926,4,10,1,-5.169,0.339848,0.562463,0.653672,0.0,0.102347,0.121801,0.400819,4EMtGVFvfCSrEmWaGV0roE
4roselHUDhHf6HGRn6GbVV,SOXXKAU14934DF6285,Get Me Right,ARFSMPX122BCFCA00D,Theophilus London,,194.14667,95.016,4,5,1,-5.047,0.121204,0.714575,0.573453,1e-06,0.095641,0.06711,0.260149,4EMtGVFvfCSrEmWaGV0roE
1OWU56gDjT9hDybpIMeGXH,SOBKJET1498AFE8BD1,So Close,ARXPKTW146FC995A0D,Tom Misch,,248.15778,114.039,4,8,1,-11.735,0.222768,0.60875,0.465846,0.009344,0.094744,0.177928,0.498923,1uiEZYehlNivdK3iQyAbye
3u4rIcRR7gSoJdkJIx9zpu,SOPFQNE14AC2E5D22D,Young,AROJSMP14AB4E442C9,Vallis Alps,,324.12299,93.981,4,3,0,-12.144,0.719975,0.584321,0.383754,0.287882,0.096421,0.067534,0.181828,7qhWa7UI1QNZNDnzYwAYZm
4n8PUr65eWkdGakNRu9G6o,SOYJHFU1498BC33567,Come Alive,ARTRGTN1409828CEA6,WE ARE TWIN,,226.39637,159.058,4,3,1,-3.513,0.000136,0.42265,0.901004,1e-06,0.289625,0.091554,0.270035,1AorvDJVBFNYvHPmdA1fU9
7CzPWHBdn48ju0Hk6Ug1FB,SOOPTFR1498BC38FEC,No Matter What It Takes,ARTRGTN1409828CEA6,WE ARE TWIN,,220.60571,144.014,4,0,0,-4.394,0.005103,0.481191,0.807662,4e-06,0.08312,0.065024,0.196673,1AorvDJVBFNYvHPmdA1fU9
2WhWYMhgBci3J5DoybgqDG,SOZXEPN1498A3ECA9E,All or Nothing,ARTRGTN1409828CEA6,WE ARE TWIN,,247.82313,155.099,4,5,0,-4.166,0.003584,0.494815,0.900081,0.000348,0.106848,0.068778,0.811474,1AorvDJVBFNYvHPmdA1fU9
3knL35qvQ9bXW5yulWICfU,SOPOGEQ13E368E53D6,Beauty,ARVOYCO13DA2F9F404,Wolf Colony,,202.05333,115.998,4,11,1,-6.493,0.236106,0.789027,0.686094,7e-06,0.074323,0.039768,0.396372,2qiKrh12VcghTug1rduLVm
27Bszh6CvTsvS4y6knplqM,SOHTDKI149A7074859,Memo,ARPDYVR13A6C15570C,Years & Years,,202.15923,81.74,4,2,1,-8.344,0.80038,0.492747,0.620497,0.102464,0.090475,0.088754,0.299736,5vBSrE1xujD2FXYRarbAXc
40i2zBFPgf9jGDmwj7LAmR,SOBQPGT14423234AAE,Like You Used To,ARIXHWN136658EA374,Kidnap Kid,,231.50844,120.015,4,5,0,-10.524,0.132119,0.697691,0.45144,0.423363,0.080131,0.028133,0.199011,4mASW0O6qIOhm3uSIcsqq8
